entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,year,CEprice
2022-05-26 15:15:00,2022-05-26,2022-05-26,2022-05-26,35106.05,35350,34850,BANKNIFTY22052635350CE,2022,
2022-06-02 15:15:00,2022-06-02,2022-06-02,2022-06-02,35666.3,35900,35400,BANKNIFTY22060235900CE,2022,0.7
2022-06-09 15:15:00,2022-06-09,2022-06-09,2022-06-09,35130.05,35400,34900,BANKNIFTY22060935400CE,2022,0.25
2022-06-16 15:15:00,2022-06-16,2022-06-16,2022-06-16,32617.0,32850,32350,BANKNIFTY22061632850CE,2022,
2022-06-23 15:15:00,2022-06-23,2022-06-23,2022-06-23,33146.75,33400,32900,BANKNIFTY22062333400CE,2022,0.3
2022-06-30 15:15:00,2022-06-30,2022-06-30,2022-06-30,33419.45,33650,33150,BANKNIFTY22063033650CE,2022,
2022-07-07 15:15:00,2022-07-07,2022-07-07,2022-07-07,34903.0,35150,34650,BANKNIFTY22070735150CE,2022,
2022-07-14 15:15:00,2022-07-14,2022-07-14,2022-07-14,34657.95,34900,34400,BANKNIFTY22071434900CE,2022,0.2
2022-07-21 15:15:00,2022-07-21,2022-07-21,2022-07-21,36194.9,36450,35950,BANKNIFTY22072136450CE,2022,
2022-07-28 15:15:00,2022-07-28,2022-07-28,2022-07-28,37371.7,37600,37100,BANKNIFTY22072837600CE,2022,0.2
2022-08-04 15:15:00,2022-08-04,2022-08-04,2022-08-04,37738.65,38000,37500,BANKNIFTY22080438000CE,2022,0.4
2022-08-11 15:15:00,2022-08-11,2022-08-11,2022-08-11,38849.35,39100,38600,BANKNIFTY22081139100CE,2022,0.2
2022-08-18 15:15:00,2022-08-18,2022-08-18,2022-08-18,39652.1,39900,39400,BANKNIFTY22081839900CE,2022,0.15
2022-08-25 15:15:00,2022-08-25,2022-08-25,2022-08-25,38855.8,39100,38600,BANKNIFTY22082539100CE,2022,0.65
2022-09-01 15:15:00,2022-09-01,2022-09-01,2022-09-01,39310.95,39550,39050,BANKNIFTY22090139550CE,2022,
2022-09-08 15:15:00,2022-09-08,2022-09-08,2022-09-08,40192.45,40450,39950,BANKNIFTY22090840450CE,2022,
2022-09-15 15:15:00,2022-09-15,2022-09-15,2022-09-15,41178.7,41450,40950,BANKNIFTY22091541450CE,2022,
2022-09-22 15:15:00,2022-09-22,2022-09-22,2022-09-22,40639.0,40900,40400,BANKNIFTY22092240900CE,2022,0.25
2022-09-29 15:15:00,2022-09-29,2022-09-29,2022-09-29,37697.25,37950,37450,BANKNIFTY22092937950CE,2022,
2022-10-06 15:15:00,2022-10-06,2022-10-06,2022-10-06,39292.2,39550,39050,BANKNIFTY22100639550CE,2022,
2022-10-13 15:15:00,2022-10-13,2022-10-13,2022-10-13,38618.75,38850,38350,BANKNIFTY22101338850CE,2022,
2022-10-20 15:15:00,2022-10-20,2022-10-20,2022-10-20,40133.2,40400,39900,BANKNIFTY22102040400CE,2022,0.3
2022-10-27 15:15:00,2022-10-27,2022-10-27,2022-10-27,41295.7,41550,41050,BANKNIFTY22102741550CE,2022,
2022-11-03 15:15:00,2022-11-03,2022-11-03,2022-11-03,41268.3,41500,41000,BANKNIFTY22110341500CE,2022,0.25
2022-11-10 15:15:00,2022-11-10,2022-11-10,2022-11-10,41603.2,41850,41350,BANKNIFTY22111041850CE,2022,
2022-11-17 15:15:00,2022-11-17,2022-11-17,2022-11-17,42420.5,42650,42150,BANKNIFTY22111742650CE,2022,
2022-11-24 15:15:00,2022-11-24,2022-11-24,2022-11-24,43069.75,43300,42800,BANKNIFTY22112443300CE,2022,0.2
2022-12-01 15:15:00,2022-12-01,2022-12-01,2022-12-01,43240.5,43500,43000,BANKNIFTY22120143500CE,2022,0.5
