entryDt,expDateDt,date,time,BANKNIFTY_price,CE_strike,PE_strike,symbolCE,symbolPE,year,CEprice,PEprice
28-07-2022 15:15,28-07-2022,28-07-2022,28-07-2022,37371.7,37600,37100,BANKNIFTY22072837600CE,BANKNIFTY22072837100PE,2022,0.2,0.3
04-08-2022 15:15,04-08-2022,04-08-2022,04-08-2022,37738.65,38000,37500,BANKNIFTY22080438000CE,BANKNIFTY22080437500PE,2022,0.4,0.75
11-08-2022 15:15,11-08-2022,11-08-2022,11-08-2022,38849.35,39100,38600,BANKNIFTY22081139100CE,BANKNIFTY22081138600PE,2022,0.2,0.45
18-08-2022 15:15,18-08-2022,18-08-2022,18-08-2022,39652.1,39900,39400,BANKNIFTY22081839900CE,BANKNIFTY22081839400PE,2022,0.15,0.35
25-08-2022 15:15,25-08-2022,25-08-2022,25-08-2022,38855.8,39100,38600,BANKNIFTY22082539100CE,BANKNIFTY22082538600PE,2022,0.65,1.4
01-09-2022 15:15,01-09-2022,01-09-2022,01-09-2022,39310.95,39550,39050,BANKNIFTY22090139550CE,BANKNIFTY22090139050PE,2022,,
08-09-2022 15:15,08-09-2022,08-09-2022,08-09-2022,40192.45,40450,39950,BANKNIFTY22090840450CE,BANKNIFTY22090839950PE,2022,,
15-09-2022 15:15,15-09-2022,15-09-2022,15-09-2022,41178.7,41450,40950,BANKNIFTY22091541450CE,BANKNIFTY22091540950PE,2022,,
22-09-2022 15:15,22-09-2022,22-09-2022,22-09-2022,40639,40900,40400,BANKNIFTY22092240900CE,BANKNIFTY22092240400PE,2022,0.25,0.35
29-09-2022 15:15,29-09-2022,29-09-2022,29-09-2022,37697.25,37950,37450,BANKNIFTY22092937950CE,BANKNIFTY22092937450PE,2022,,
06-10-2022 15:15,06-10-2022,06-10-2022,06-10-2022,39292.2,39550,39050,BANKNIFTY22100639550CE,BANKNIFTY22100639050PE,2022,,
13-10-2022 15:15,13-10-2022,13-10-2022,13-10-2022,38618.75,38850,38350,BANKNIFTY22101338850CE,BANKNIFTY22101338350PE,2022,,
20-10-2022 15:15,20-10-2022,20-10-2022,20-10-2022,40133.2,40400,39900,BANKNIFTY22102040400CE,BANKNIFTY22102039900PE,2022,0.3,0.25
27-10-2022 15:15,27-10-2022,27-10-2022,27-10-2022,41295.7,41550,41050,BANKNIFTY22102741550CE,BANKNIFTY22102741050PE,2022,,
03-11-2022 15:15,03-11-2022,03-11-2022,03-11-2022,41268.3,41500,41000,BANKNIFTY22110341500CE,BANKNIFTY22110341000PE,2022,0.25,0.35
10-11-2022 15:15,10-11-2022,10-11-2022,10-11-2022,41603.2,41850,41350,BANKNIFTY22111041850CE,BANKNIFTY22111041350PE,2022,,
17-11-2022 15:15,17-11-2022,17-11-2022,17-11-2022,42420.5,42650,42150,BANKNIFTY22111742650CE,BANKNIFTY22111742150PE,2022,,
24-11-2022 15:15,24-11-2022,24-11-2022,24-11-2022,43069.75,43300,42800,BANKNIFTY22112443300CE,BANKNIFTY22112442800PE,2022,0.2,0.5
01-12-2022 15:15,01-12-2022,01-12-2022,01-12-2022,43240.5,43500,43000,BANKNIFTY22120143500CE,BANKNIFTY22120143000PE,2022,0.5,0.75
